,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_year,tracks_popularity
94,Joy Again,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499,4,2016,80
95,Tom Odell,Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4,2013,94
96,Steve Lacy,Some,4riDfclV7kPDT9D58FpmHd,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,118393,4,2016,79
97,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),2OQ6a4CfUeYskpTTgyawyJ,0.635,0.87,2,-4.291,0,0.04,0.0152,0.0,0.118,0.912,92.999,156773,4,2017,82
98,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,0.767,0.538,0,-6.044,0,0.052,0.68,0.0,0.192,0.343,81.031,121680,4,2018,78
99,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R,0.825,0.572,6,-6.067,0,0.0864,0.0079,0.0,0.113,0.568,141.991,175954,4,2018,78
100,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4,2015,82
101,Bing Crosby,Winter Wonderland - Remastered,3pdQTWpq09XCBosbTtYIiZ,0.589,0.232,3,-13.633,1,0.0579,0.835,0.0,0.108,0.53,126.626,142480,4,2015,78
102,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ,0.457,0.551,5,-9.36,0,0.167,0.427,1.15e-06,0.113,0.428,89.87,307151,4,2016,80
103,Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,271733,4,2018,80
104,Tyler Childers,Shake the Frost (Live),19MkwMrRjO7773zpuGss1o,0.447,0.341,2,-9.769,1,0.0457,0.806,2.05e-06,0.686,0.371,138.969,175120,4,2018,76
105,Kodak Black,No Flockin',34oWbFBfGEElvgO0a5c9V4,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,165291,4,2015,76
106,Brent Faiyaz,Trust,0oufSLnKQDoBFX5mgkDCgR,0.764,0.394,8,-8.559,1,0.152,0.231,9.37e-05,0.117,0.465,92.009,158421,4,2018,80
107,Seafret,Atlantis,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,229173,4,2016,89
108,Vansire,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ,0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,57370,4,2018,82
109,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,4,2015,78
110,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,4,2014,82
111,Pentatonix,Hallelujah,0HZk0QsXPhMNAWNDR3rYE8,0.364,0.378,7,-7.381,0,0.0331,0.47,0.0,0.339,0.366,89.918,268960,3,2017,76
112,$uicideboy$,For the Last Time,240audWazVjwvwh7XwfSZE,0.844,0.533,1,-9.612,1,0.552,0.0735,3.46e-06,0.0953,0.23,140.078,156081,4,2017,77
113,The Weeknd,Often,4PhsKqMdgMEUSstTDAmMpg,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,4,2015,83
114,Lil Peep,Falling Down - Bonus Track,4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,2018,82
115,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,207455,4,2018,80
