,song_name,artist,location_at_chart,year_of_billboard,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
109,on the floor,jennifer lopez featuring pitbull,11,2011,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,284867,4,75,1
110,s&m,rihanna,12,2011,7ySUcLPVX7KudhnmNcgY2D,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,243600,4,75,1
111,pumped up kicks,foster the people,13,2011,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,79,1
112,last friday night (t.g.i.f.),katy perry,14,2011,3avYqdwHKEq8beXbeWCKqJ,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733,4,70,1
113,just the way you are,bruno mars,15,2011,7BqBn9nzAq8spo5e7cZ0dJ,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4,79,1
114,tonight (i'm lovin' you),enrique iglesias featuring ludacris & dj frank e,16,2011,79R98MwYRcQZdAzjjzUbiX,0.651,0.884,0,-3.986,0,0.0533,0.0242,5.36e-06,0.202,0.285,125.941,231293,4,48,1
115,raise your glass,p!nk,17,2011,1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,202960,4,74,1
116,born this way,lady gaga,18,2011,0QxRg51Y57EakUNrut5OWg,0.586,0.835,11,-5.117,1,0.146,0.00387,0.0,0.304,0.492,123.936,260413,4,0,1
117,f**kin' perfect,p!nk,19,2011,3MGJF1CDFGfjXESL2Heva0,0.565,0.646,7,-4.749,1,0.0335,0.0412,0.0,0.362,0.481,91.973,213413,4,63,1
118,what's my name?,rihanna featuring drake,20,2011,6DkXLzBQT7cwXmTyzAB1DJ,0.689,0.784,2,-2.972,1,0.074,0.182,0.0,0.0843,0.561,99.954,263173,4,67,1
119,look at me now,chris brown featuring lil wayne & busta rhymes,21,2011,3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,222587,4,67,1
120,down on me,jeremih featuring 50 cent,22,2011,0x3TibRgnSqzkcwrqBd4iX,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,228453,4,71,1
121,how to love,lil wayne,23,2011,5W7BcYDIaeXnpG3e39T7hJ,0.644,0.661,11,-6.093,1,0.0418,0.000177,5.23e-06,0.108,0.272,153.992,240307,4,63,1
122,someone like you,adele,24,2011,1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240,4,76,1
123,good life,onerepublic,25,2011,4ZPdLEztrlZqbJkgHNw54L,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,207000,4,70,1
124,the lazy song,bruno mars,26,2011,1ExfPZEiahqhLyajhybFeS,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,189109,4,69,1
125,till the world ends,britney spears,27,2011,38iU2jg98IZZEIJPrP7aWD,0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,237947,4,62,1
126,the show goes on,lupe fiasco,28,2011,4NTWZqvfQTlOMitlVn6tew,0.591,0.889,7,-3.839,1,0.115,0.0189,0.0,0.155,0.65,143.067,239613,4,66,1
127,the edge of glory,lady gaga,29,2011,0JNdS1n0ifOP25XvhwAMgM,0.581,0.772,9,-6.544,1,0.0401,0.000343,0.0191,0.11,0.361,127.952,320587,4,61,1
128,we r who we r,ke$ha,30,2011,3LUWWox8YYykohBbHUrrxd,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,4,67,1
129,black and yellow,wiz khalifa,31,2011,5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,217667,4,72,1
130,tonight tonight,hot chelle rae,32,2011,2i0AUcEnsDm3dsqLrFWUCq,0.686,0.783,4,-4.977,1,0.119,0.0764,0.0,0.163,0.814,99.978,200467,4,68,1
131,blow,ke$ha,33,2011,2g3qKijfeHfDyM7Fmaoi5M,0.815,0.742,11,-4.896,0,0.245,0.0579,0.0,0.345,0.584,137.036,182533,4,66,1
132,lighters,bad meets evil featuring bruno mars,34,2011,5zpDHEU12zATwLGvozxPw2,0.676,0.695,0,-8.327,1,0.245,0.352,0.0,0.119,0.144,90.268,303813,4,66,1
133,if i die young,the band perry,35,2011,4u26EevCNXMhlvE1xFBJwX,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,222773,4,64,1
134,stereo hearts,gym class heroes featuring adam levine,36,2011,0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.796,89.99,210960,4,78,1
135,the time (dirty bit),the black eyed peas,37,2011,7vWFaMq63AwkFDhS2OAg5u,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,307640,4,66,1
136,coming home,diddy - dirty money featuring skylar grey,38,2011,65GbQI9VDTs7vo6MJL2iJA,0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418,206387,3,66,1
137,hey baby (drop it to the floor),pitbull featuring t-pain,39,2011,3rfhI32Il2hVRKDkuGeeen,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024,234453,4,69,1
138,only girl (in the world),rihanna,40,2011,2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,235493,4,76,1
139,6 foot 7 foot,lil wayne featuring cory gunz,41,2011,5Qy6a5KzM4XlRxsNcGYhgH,0.364,0.752,2,-5.429,1,0.304,0.0007,0.0,0.318,0.606,79.119,248587,4,69,1
140,just a kiss,lady antebellum,42,2011,2OXidlnDThZR3zf36k6DVL,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881,218840,4,59,1
141,dirt road anthem,jason aldean,43,2011,2qYsSHsYkihWx043HVJQRV,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4,68,1
142,dynamite,taio cruz,44,2011,5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,80,1
