,artist,song_name,spotify_track_id
138,Steve Lacy,Some,4riDfclV7kPDT9D58FpmHd
139,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),2OQ6a4CfUeYskpTTgyawyJ
140,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2
141,Trippie Redd,1400 / 999 Freestyle,75lcPkAkUsKWHGBlGM476R
142,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ
143,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn
144,Bing Crosby,Winter Wonderland - Remastered,3pdQTWpq09XCBosbTtYIiZ
145,XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18
146,Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ
147,Mac Miller,Small Worlds,4gT3mNJA8lnlkYFqGZ8IA2
148,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx
149,Tyler Childers,Shake the Frost (Live),19MkwMrRjO7773zpuGss1o
150,Avicii,Wake Me Up,0nrRP2bk19rLc0orkWPQk2
151,Kodak Black,No Flockin',34oWbFBfGEElvgO0a5c9V4
152,SZA,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs
153,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl
154,Brent Faiyaz,Trust,0oufSLnKQDoBFX5mgkDCgR
155,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P
156,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj
157,Seafret,Atlantis,1Fid2jjqsHViMX6xNH70hE
158,Vansire,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ
159,Mac Miller,Weekend (feat. Miguel),6GnhWMhgJb7uyiiPEiEkDA
160,Sam Smith,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN
161,Ty Dolla $ign,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO
162,Pentatonix,Hallelujah,0HZk0QsXPhMNAWNDR3rYE8
163,$uicideboy$,For the Last Time,240audWazVjwvwh7XwfSZE
164,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf
165,The Weeknd,Often,4PhsKqMdgMEUSstTDAmMpg
166,Taylor Swift,Style,4lIxdJw6W3Fg4vUIYCB0S5
167,One Direction,Night Changes,5O2P9iiztwhomNh8xkR9lJ
