,artist,song_name,spotify_track_id
188,Tyler Childers,Nose On The Grindstone (OurVinyl Sessions),4a2uqVlpRChHj32EjJLu7G
189,Drake,Feel No Ways,3cjF2OFRmip8spwZYQRKxP
190,Cody Johnson,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z
191,Travis Scott,5% TINT,11kDth1aKUEUMq9r1pqyds
192,Phoebe Bridgers,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R
193,A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK
194,SZA,Normal Girl,5fQBa4wkmq28xpSLOQ202K
195,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ
196,Still Woozy,Goodie Bag,4vHNeBWDQpVCmGbaccrRzi
197,Cage The Elephant,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0
198,Ski Mask The Slump God,Unbothered,5hwUsRKvnO5yThjVrxHQVt
199,Cavetown,Devil Town,0vf2eBw2inhl8y61cYQMv2
200,Young Money,Trophies,6HfOzLLjsaXsehIFEsrxTk
201,Polo G,Neva Cared,3UnYMo1aeD0o8VtHy3R8cs
202,Jessie J,Man With The Bag,2Ysi49tRdVH74d1Cnc4o94
203,Summer Walker,Karma,2Fyjjpg03fn7n5cj0Qm380
204,Pentatonix,"Mary, Did You Know?",4z8sz6E4YyFuEkv5o7IJni
205,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7
206,Jon Pardi,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD
207,Big Sean,I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA
208,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh
209,Zedd,The Middle,09IStsImFySgyp0pIQdqAc
210,Freddie Dredd,GTG,46M2hXnaQpueG7vSvgVtVH
211,Kodak Black,Transportin',1WIZiOuNO3woKfdlSK2gNn
212,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
213,Cigarettes After Sex,Sweet,3VSYkAf6f46i5ZkXOHORq1
214,Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w
215,Big Sean,I Know,6rje9f1wRFJDO2iTORw0lH
216,Gunna,Drip or Drown,6ZthdsKjWtiCxnxbhs74vF
217,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH
218,Colter Wall,Sleeping on the Blacktop,3Ozx6IrGdoQyAworJzvBDE
219,Arctic Monkeys,R U Mine?,2AT8iROs4FQueDv2c8q2KE
220,Adele,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h
221,Paloma Faith,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8
222,Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
223,XXXTENTACION,YuNg BrAtZ,2ooF4088y5L72c4YTEJQoB
224,Rihanna,Woo,3HQcsqRjRdruUjkbDSgmVF
225,Mitski,Francis Forever,5411TEB6tlzvuF5A4oyldr
226,Mac Miller,Congratulations (feat. Bilal),1OubIZ0ARYCUq5kceYUQiO
227,Daniel Caesar,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F
228,Metro Boomin,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
229,Playboi Carti,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC
230,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST
231,The Paper Kites,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D
232,03 Greedo,Substance,0MoQI1EZGSHLhd5UBdxPol
233,Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To
234,Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)",5Q2P43CJra0uRAogjHyJDK
235,Bring Me The Horizon,Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj
236,Tee Grizzley,First Day Out,3muBQDekYAg7jm6hDu6R0Z
237,Morgan Wallen,Talkin' Tennessee,7szRiHu6r91o2Po9GTPN4c
238,Ricky Montgomery,Line Without a Hook,5NvOZCjZaGGGL597exlQWv
239,Lil Peep,Save That Shit,64PgpLHuQK3UJ5qZ875Vei
240,The Lumineers,Cleopatra,2ToW7zhGCrVrLU4fiKj9U1
