,artist,song_name,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1132,Bakar,Hell N Back,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,213573,4
1133,Los Gemelos De Sinaloa,No Le Aflojo,7ifMxHITc3NIipJO4R5NGb,0.698,0.687,5,-4.115,0,0.0501,0.195,0.0,0.0829,0.773,116.765,202876,4
1134,Baby Keem,trademark usa,15hJmqqEtASVXl6sM7i4UF,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,270671,4
1135,Jhayco,CÓMO SE SIENTE - Remix,2tFwfmceQa1Y6nRPhYbEtC,0.807,0.606,3,-8.871,0,0.088,0.0946,0.0,0.119,0.304,92.988,227520,4
1136,Harry Styles,Grapejuice,4j6kId9QIqhoXvqHKgSKa0,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,0.88,182.928,191959,4
1137,Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444,3
1138,Sabrina Carpenter,A Nonsense Christmas,7yogx3TwxGwSxO2QITsT2q,0.722,0.75,8,-4.051,1,0.0445,0.00768,0.0,0.128,0.57,139.019,153100,4
1139,Isabel LaRosa,i'm yours sped up,4sFGNz4MYpGoz53ZGCwsiE,0.39,0.752,7,-7.581,0,0.19,0.108,0.00308,0.555,0.637,128.926,127781,1
1140,Chelsea Cutler,Men On The Moon,164LL9rTyEZ6DF0KMgXxsJ,0.552,0.517,8,-7.906,1,0.0245,0.0211,0.00612,0.152,0.105,79.512,220798,4
1141,Connor Price,Violet,3zb9k8UUuKz5tYmKJvNqQA,0.924,0.716,8,-7.158,0,0.0541,0.0177,1.15e-06,0.128,0.48,119.973,122880,4
1142,Harry Styles,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907,4
1143,21 Savage,Immortal,4IO8X9W69dIQe0EC5ALXhq,0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,4
1144,Tame Impala,Borderline,5hM5arv9KDbCHS0k9uqwjr,0.621,0.873,5,-3.067,0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96,237800,4
1145,Bad Bunny,Andrea,44XjoNvtwevktFKjvVe1vH,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,339612,4
1146,Gwen Stefani,You Make It Feel Like Christmas (with Blake Shelton),3SjaE7SExrVnRZi45KXT3O,0.635,0.87,2,-4.291,0,0.04,0.0152,0.0,0.118,0.912,92.999,156773,4
1147,Junior H,Vamos Para Arriba,7cZoAjj5vufdREBJZGW2lH,0.699,0.51,5,-7.153,0,0.0352,0.498,0.0,0.22,0.625,98.07,172227,3
1148,Chris Lane,Dancin' In The Moonlight (feat. Lauren Alaina),0pnKcAh5binHOP9HexWwnZ,0.589,0.829,8,-4.861,0,0.0332,0.0196,0.0,0.128,0.563,121.998,199000,4
1149,Yeat,Sorry Bout That,4VHkjPgAis9JNfc1URn7zZ,0.73,0.643,6,-7.811,0,0.0984,8.47e-05,0.0,0.203,0.492,141.961,186018,4
1150,Ivan Cornejo,Tatuajes - Deluxe,2b4YJ0j60w3YPIFot0oodu,0.621,0.256,5,-11.78,1,0.0282,0.844,0.000352,0.138,0.205,130.123,198000,4
1151,The Strokes,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,309053,4
1152,Nas,"One Mic, One Gun",7CpXFEjLntpr4GdOhTtFEv,0.756,0.916,1,-2.692,1,0.207,0.0351,0.0,0.241,0.458,149.961,169693,4
1153,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353,4
1154,Ava Max,Christmas Without You,1QLZKzC2pjP4ySf4ALrNhm,0.654,0.596,1,-4.68,1,0.0458,0.424,0.0,0.11,0.382,118.078,169245,4
1155,Atlus,You're a Fucking Bitch Hope You Know That Shit,06q3sUgkq2k7uhdsi1fczX,0.79,0.66,1,-5.677,0,0.248,0.399,0.0,0.104,0.652,143.904,163156,4
1156,Doja Cat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4
1157,Yeat,Talk,0ypjMI7vHiDP4sLB1C0Qna,0.698,0.763,4,-4.718,0,0.229,0.0845,0.0,0.54,0.256,139.998,174857,4
1158,DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
1159,Conan Gray,Family Line,0iNZGC211wst3VjtobNnC5,0.326,0.397,6,-8.145,1,0.0461,0.619,0.0,0.0979,0.276,153.713,216095,3
1160,$hyfromdatre,6000 Degrees (AH HA),5no1uAP51SFQzZqITUxsfG,0.918,0.517,2,-7.085,1,0.156,0.0365,0.0,0.0998,0.158,131.983,102873,4
1161,Taylor Swift,The Way I Loved You (Taylor’s Version),22bPsP2jCgbLUvh82U0Z3M,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,243137,4
1162,21 Savage,Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,193839,4
1163,Brett Young,You Didn’t,5Jwcv2Le3Klwgrgyqa12ZA,0.623,0.466,11,-7.6,1,0.0265,0.0421,1.45e-06,0.0996,0.272,81.98,225813,3
1164,Dayglow,Can I Call You Tonight?,61OJxhoY3Ix50rYVKo8zRK,0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,278769,4
1165,Destroy Lonely,NOSTYLIST,42tD9J0KCPFSc1d2hFTvAf,0.567,0.773,11,-5.166,0,0.0775,0.0396,0.0,0.111,0.496,160.08,180000,4
1166,Lewis Capaldi,Pointless,4JBiO7wRnE6ueszEUpo347,0.325,0.59,4,-3.943,1,0.0495,0.0686,0.0,0.104,0.278,180.449,235752,3
