,song_name,artist,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,tracks_popularity,entered_biilboard
1488,May We All,Florida Georgia Line,498ZVInMGDkmmNVpSWqHiZ,0.514,0.918,7,-4.306,1,0.0365,0.0409,0.0,0.342,0.64,150.033,226173,4,69,0
1489,The Devil Wears a Suit and Tie,Colter Wall,7hlA8gMMz6jSp91Twsnuv3,0.625,0.319,6,-12.119,0,0.0805,0.79,0.104,0.0921,0.438,127.799,236027,4,69,0
1490,It's Not Living (If It's Not With You),The 1975,3TgMcrV32NUKjEG2ujn9eh,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,248336,4,76,0
1491,Dollhouse,Melanie Martinez,6wNeKPXF0RDKyvfKfri5hf,0.725,0.708,5,-5.331,0,0.0756,0.22,0.0,0.777,0.555,130.029,231853,4,74,0
1492,End Game,Taylor Swift,2x0WlnmfG39ZuDmstl9xfX,0.649,0.589,2,-6.237,1,0.0558,0.00845,0.0,0.108,0.151,159.073,244827,4,75,0
1493,Fraulein (feat. Tyler Childers),Colter Wall,1zLWKvegCtyjWaVWQFFX5W,0.486,0.112,7,-14.27,1,0.033,0.94,9.36e-05,0.123,0.545,140.125,143001,4,68,0
1494,Sex With Me,Rihanna,7BiELrM90hRxpozaIXbsLw,0.58,0.532,1,-5.668,0,0.0424,0.294,0.0,0.0948,0.39,112.049,206400,4,74,0
1495,Hurt Feelings,Mac Miller,5p7GiBZNL1afJJDUrOA6C8,0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,245640,4,72,0
1496,Old Ties and Companions,Watchhouse,53DVsTZvB16BDP30XmfSef,0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,188947,4,69,0
1497,She's My Collar (feat. Kali Uchis),Gorillaz,3lIxtCaROdRDuTnNBDm3n2,0.726,0.815,11,-5.886,1,0.0313,0.00799,0.081,0.112,0.462,140.158,209560,4,74,0
